name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s),started(s)
binarytrees,sbcl,1,7,595,0.021,19568,0,0% 0% 0% 28%,0.070,0.020,0.000
binarytrees,sbcl,1,14,595,0.091,90368,0,100% 10% 0% 0%,0.092,0.101,0.000
binarytrees,sbcl,1,21,595,9.645,550616,0,100% 0% 0% 0%,9.647,9.743,0.000
binarytrees,sbcl,1,21,595,9.593,550616,0,100% 0% 0% 0%,9.595,9.623,0.000
binarytrees,sbcl,1,21,595,9.643,550488,0,39% 60% 0% 0%,9.648,9.744,0.000
binarytrees,sbcl,1,21,595,9.692,550484,0,40% 0% 0% 60%,9.693,9.819,0.000
binarytrees,sbcl,1,21,595,9.615,558040,0,100% 0% 0% 0%,9.617,9.799,0.000
binarytrees,sbcl,1,21,595,9.593,558036,0,99% 0% 0% 0%,9.595,9.652,0.000
binarytrees,python3,2,7,344,0.040,19652,0,0% 2% 0% 9%,0.444,0.050,0.000
binarytrees,python3,2,14,344,0.496,19652,0,100% 0% 2% 4%,0.497,0.527,0.000
binarytrees,python3,2,21,344,106.184,272256,0,100% 0% 0% 0%,106.196,106.515,0.000
binarytrees,python3,2,21,344,106.108,272256,0,100% 0% 0% 0%,106.121,106.651,0.000
binarytrees,python3,2,21,344,106.788,272384,0,100% 0% 0% 0%,106.802,107.122,0.000
binarytrees,python3,2,21,344,105.846,272256,0,0% 100% 0% 0%,105.854,106.277,0.000
binarytrees,python3,2,21,344,105.808,272384,0,0% 0% 100% 0%,105.816,106.240,0.000
binarytrees,python3,2,21,344,106.001,272384,0,91% 0% 0% 8%,106.012,106.330,0.000
binarytrees,java,7,7,841,0.222,44040,0,3% 1% 9% 3%,1.381,0.240,0.000
binarytrees,java,7,14,841,0.198,107464,0,50% 45% 77% 45%,0.100,0.219,0.000
binarytrees,java,7,21,841,8.187,1709816,0,69% 76% 77% 90%,2.629,8.250,0.000
binarytrees,java,7,21,841,8.087,1688120,0,87% 69% 79% 75%,2.608,8.115,0.000
